id,label,review
test_000001,0,"""Mua đây nhiuuu lần rùiii, giá rẻ hơnnn mấy chỗ khác, giao nhanh nhưng lần này chắc bận gì ớ, nên tới chìu mới giao huhu "" "
test_000002,0,"""Mình nhận đầy đủ hàng, giao hoả tốc nên mới 14’ là hàng đã đến tay mình ùi "" "
test_000003,0,"""Ăn cx tạm đc, bình thường, bạn nào hk ăn cay đc nhớ cân nhắc    Chủ shop dễ thương     "" "
test_000004,1,"""Video và hình ảnh mang tính chất nhận xu, không có liên quan đến sản phẩm "" "
test_000005,1,"""Chân này bị ghiền mọi người ơiii, một lần mua ăn chắc phải 30 - 40 cái "" "
test_000006,1,"""hình ảnh và video k liên quan lắm nhưng mà chân vịt ngon thật mọi người ạ "" "
test_000007,0,"""Hàng nhận y như hình, sản phẩm tốt ! 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 "" "
test_000008,1,"""Shop gửi bù mình bằng xúc xích loại khác ăn cũng được lắm tuy không cay  "" "
test_000009,0,"""Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm chắc chắn, shop giao hàng nhanh, đáng tiền  "" "
test_000010,0,"""Ok đầy đủ dth giao nhanh chất lượng và rẻ nên múaaaaaaaaaaaaaaaaa "" "
test_000011,0,"""Giao nhanh đúng số lượng nha giá thì rẻ hơn nhiều chỗ khác nhiều "" "
test_000012,0,"""Shop giao hàng đầy đủ, gọi xác nhận nếu thiếu hàng thì sẽ bù tiền rất chuyên nghiệp nha "" "
test_000013,0,"""Đã mua n lần, chân gà ngon lắm, shop giao nhầm 1b ko cay nhưng thui kệ cũng ngon  Hình ảnh chỉ mang tính chất nhận xu "" "
test_000014,0,"""Ngon nha mn mua bao lần rồi , phải mấy trăm cái luôn dó nha , ok đó "" "
test_000015,0,"""Mình lười chụp quá nên lấy tạm hình này nhé shop  Chân vịt ngon nhưng mà nó nhỏ hơn hẳn cái loại trước mình mua ở chỗ khác :(( hơi buồn á  Mình mua 7 chân vịt, 1 cánh thì có 2 chân siêu nhỏ á  hông biết có phải shop bán loại khác hay do ngta sx từng đợt khác nhau nữa "" "
test_000016,1,"""Đặt nabati vàng shop giao nabati đen, may mà mua có 1bịt nhỏ thôi, nhưng ăn k đc, gói hàng cũng đc  "" "
test_000017,0,"""Giao đủ hàng, shop nhiệt tình, sẽ ủng hộ lần tiếp theo "" "
test_000018,0,"""Bánh ăn rất ngon, shop nhiệt tình và chu đáo, giao hàng rất nhanh "" "
test_000019,1,"""Video chỉ mang tính lấy xu, chân gà với bánh ăn tạm ổn, giao đủ hàng, bánh bị hở chảy nước "" "
test_000020,0,"""Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm chắc chắn, shop giao hàng nhanh, đáng tiền "" "
test_000021,0,"""ngonnnnnnnnnnnnnnnnnnnnnnnnnnn hình ảnh chỉ nhận xuuuuu "" "
test_000022,0,"""giao hàng nhanh, giá rẻ, chất lượng tốt, đóng gói kĩ, đáng tiền "" "
test_000023,1,"""Mình có đặt cổ nhưng lại giao nhầm chân gà 😑😑  Nói chung tạm ổn, giao đủ số lượng "" "
test_000024,0,"""Bánh ngon , tuỵt zời ông mặt trời gà bông chíp chíp , ngon sức sắccc màu "" "
test_000025,0,"""Hàng xịn giá hợp lí nên mua ship cũng nhanh cỡ 3-4 ngày là có á!! "" "
test_000026,0,"""Sản phẩm đẹp, phù hợp giá tiền, giao hàng nhanh  Bé rất thích  "" "
test_000027,0,"""Ngon   fghgfyhfdrgfsetgfhhgrtygfeertfrtyigiguftyyyy "" "
test_000028,1,"""Bânkehjxnanwkmxb nakqnxbjkqnx   Bakqkxnbakkqnx   Ankwnhh "" "
test_000029,0,"""Giao hàng nhanh, shop phục vụ rất tốt, đóng gói sản phẩm rất đẹp "" "
test_000030,0,"""Hàng đóng gói rất đẹp  Quả nhiên người bán đã gửi gắm rất nhiều tâm tư và tình cảm trong lúc gói hàng  Hộp không có dấu hiệu bị móp, chứng tỏ bộ phận vận chuyển đã nâng như nâng trứng, hứng như hứng hoa  Xin nghiêng mình cảm ơn vì tất cả "" "
test_000031,1,"""Hình ảnh mang tính chất nhận xu ,                           "" "
test_000032,0,"""Shop giao hàng hơi chậm, đóng gói tốt  Giá rẻ so với mặt bằng chung "" "
test_000033,0,"""Shop giao hàng hơi chậm, đóng gói ổn  Giá rẻ, chất lượng tốt 👍👍 "" "
test_000034,0,"""Đã mua rất nhiều lần giao hàng nhanh sản phẩm giống  hình        "" "
test_000035,0,"""Giao hàng đầy đủ và giao siêu nhanh nha, cay ngon đậm vị hihihi "" "
test_000036,0,"""Đồ ăn ngon lắm, do mình con lai nên ăn khá hợp tuy ko giống vị đồ ăn ko đóng gói lắm  "" "
test_000037,0,"""Kẹo ổi và xoài muối ớt ăn ngon, thích vị này lâu r mà dịch nên kh tìm được, hên là cuối cùng cùng tìm thấy chỗ bán rẻ vầy  Chân và cổ vịt chưa ăn nên chưa biết, lần đầu mua nên mong là ngon  Ảnh chỉ để lấy xu "" "
test_000038,0,"""đo an ngon , shop dong goi chac chan, giao hang sieu nhanh  se quay lai lan sau, vudeo va hinh anh muc dich lay xu  "" "
test_000039,1,"""Kandjdnbxalwodn cnakkrnc  Cmakakdnc mcmamaklecncn nhậd "" "
test_000040,0,"""Giao hàng nhanh chóng, đóng gói cẩn thận, giá được giảm rất rẻ, mua lần đầu khá hài lòng, hy vọng sẽ ủng hộ những lần tiếp theo  "" "
test_000041,0,"""Thịt nướng ăn rất cay nhưng mà rất ngon  Xúc xích ăn lạ nhưng mà cũng ngon "" "
test_000042,0,"""Giao hàng rất nhanh, đóng gói kĩ, ăn rất ngon và giá cũng khá ổn "" "
test_000043,1,"""Hình ảnh &video chỉ mang tính chất nhận xu                      "" "
